property,n_species,species
Motor proteins,5,bonobo; borangutan; chimpanzee; gibbon; human
Arrhythmogenic right ventricular cardiomyopathy,5,bonobo; borangutan; chimpanzee; gibbon; human
Hypertrophic cardiomyopathy,5,bonobo; borangutan; chimpanzee; gibbon; human
Adherens junction,4,bonobo; borangutan; chimpanzee; human
Focal adhesion,5,bonobo; borangutan; chimpanzee; gibbon; human
Cytoskeleton in muscle cells,5,bonobo; borangutan; chimpanzee; gibbon; human
MAPK signaling pathway,2,bonobo; human
Human papillomavirus infection,4,bonobo; borangutan; chimpanzee; gibbon
Dilated cardiomyopathy,2,borangutan; chimpanzee
Inositol phosphate metabolism,1,borangutan
ECM-receptor interaction,3,borangutan; chimpanzee; human
Platelet activation,1,borangutan
Phosphatidylinositol signaling system,1,borangutan
Yersinia infection,1,borangutan
Oxytocin signaling pathway,1,borangutan
Axon guidance,2,borangutan; gibbon
Proteoglycans in cancer,1,borangutan
mRNA surveillance pathway,1,chimpanzee
ECM,1,gibbon
Protein digestion and absorption,2,gibbon; human
Nucleocytoplasmic transport,1,gibbon
Small cell lung cancer,1,human
Aldosterone synthesis and secretion,1,human
Cushing syndrome,1,human
Reg. of actin cytoskeleton,1,human
