without_coding_region  5000   NC_073235.2  SCFR_NC_073235_2_4143_10227_frame_1_fft           8    3  0.166667;0.333498;0.333169    4152.773;1119.678;1115.900        6;3;3
without_coding_region  5000   NC_073235.2  SCFR_NC_073235_2_4144_10228_frame2_fft            8    3  0.166667;0.333498;0.333169    4154.108;1118.385;1115.619        6;3;3
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_1344_7659_frame1_fft             2    2  0.166746;0.333333             3395.819;1924.490                 6;3
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_145892002_145897231_frame_1_fft  7    3  0.166762;0.333333;0.167145    2739.292;1109.786;963.054         6;3;6
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_145892003_145897232_frame3_fft   7    3  0.166762;0.333333;0.167145    2740.480;1110.663;963.447         6;3;6
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_1343_7652_frame_3_fft            2    2  0.166746;0.333333             3393.846;1923.685                 6;3
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18521804_18540476_frame3_fft     8    3  0.176467;0.352935;0.470598    12491.250;7024.552;5562.266       6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18533254_18539218_frame2_fft     8    3  0.176392;0.352951;0.058853    2697.654;2283.779;1580.823        6;3;17
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18541138_18553663_frame2_fft     8    3  0.176447;0.470579;0.352974    7024.712;3674.694;3613.477        6;2;3
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18541485_18554649_frame1_fft     8    3  0.176466;0.352932;0.470602    8797.616;4961.356;3939.718        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18556250_18567926_frame3_fft     8    3  0.176430;0.352946;0.058839    5269.255;4467.188;3140.398        6;3;17
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18561393_18566553_frame1_fft     8    3  0.176550;0.352907;0.470543    2575.910;1883.608;1466.220        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18566688_18573552_frame1_fft     14   3  0.176428;0.352855;0.058712    4381.600;2099.309;1591.142        6;3;17
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18569653_18579052_frame2_fft     17   3  0.176402;0.352910;0.470688    5055.635;2628.471;1956.212        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18461034_18586215_frame_2_fft    119  3  0.176472;0.352937;0.176449    62188.702;25779.636;21809.810     6;3;6
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18571505_18577094_frame3_fft     15   3  0.176418;0.352836;0.058687    3608.139;1785.566;1316.506        6;3;17
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18573687_18581553_frame1_fft     21   3  0.176456;0.352784;0.470633    3297.079;2515.287;1470.739        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18577229_18582389_frame3_fft     15   3  0.176357;0.352713;0.470930    3281.893;1594.244;982.569         6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18581556_18597183_frame1_fft     53   3  0.176361;0.352787;0.470852    8807.629;4096.769;3812.834        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18586219_18594598_frame2_fft     28   3  0.176393;0.352787;0.470820    5409.954;2727.571;1809.132        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18592775_18616097_frame3_fft     64   3  0.176400;0.352757;0.470843    10493.242;7459.076;4084.400       6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18599545_18604894_frame2_fft     18   3  0.176295;0.352776;0.470929    2334.205;1856.950;957.078         6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18602130_18609711_frame1_fft     22   3  0.176362;0.352724;0.470782    4643.524;1975.652;1462.986        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18607465_18614122_frame2_fft     24   3  0.176356;0.352711;0.470632    4079.859;1710.728;1414.482        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18612690_18621318_frame1_fft     18   3  0.176402;0.352805;0.470793    5495.533;2669.934;1687.505        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18618668_18629369_frame3_fft     36   3  0.176432;0.352771;0.470797    4515.335;3638.093;1713.580        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18622903_18631954_frame2_fft     28   3  0.176334;0.352779;0.470887    4340.269;2960.709;1889.517        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18627546_18639555_frame1_fft     43   3  0.176368;0.352735;0.470814    7373.128;3183.984;2180.558        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18629372_18634721_frame3_fft     18   3  0.176295;0.352776;0.470929    2334.314;1857.471;958.114         6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18631957_18637306_frame2_fft     16   3  0.176295;0.352776;0.470742    2273.170;1876.268;942.697         6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18634724_18644291_frame3_fft     31   3  0.176440;0.352775;0.470785    4031.346;3189.851;1440.738        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18637309_18642316_frame2_fft     16   3  0.176353;0.352706;0.411823    3048.616;1244.840;945.225         6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18639690_18648291_frame1_fft     29   3  0.176375;0.352750;0.352982    5237.335;2244.149;1412.591        6;3;3
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18652407_18659763_frame1_fft     9    3  0.176455;0.352909;0.470636    4903.857;2696.738;2096.523        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18657977_18663044_frame3_fft     8    3  0.176436;0.352872;0.058812    3232.514;1567.217;1438.097        6;3;17
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18668058_18674400_frame1_fft     8    3  0.176443;0.352886;0.058814    4045.236;1967.290;1783.668        6;3;17
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18673940_18688697_frame3_fft     8    3  0.176459;0.352917;0.058820    9439.095;4598.561;4116.604        6;3;17
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18683053_18691570_frame2_fft     8    3  0.176471;0.352941;0.470588    5729.503;3299.935;2691.279        6;3;2
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18689988_18701328_frame1_fft     8    3  0.176455;0.352910;0.058818    7227.061;3516.617;3147.827        6;3;17
without_coding_region  5000   NC_073236.2  SCFR_NC_073236_2_18707651_18718583_frame3_fft     8    3  0.176454;0.352909;0.058818    6987.151;3414.820;3055.436        6;3;17
