species,region,min,q1,median,q3,max,mean,count
Gibbon,Upstream,0.0,35.065,48.438,60.606,100.0,48.11926877808153,200087
Gibbon,Downstream,0.0,39.216,52.9715,66.667,100.0,56.00665803352411,195680
Gorilla,Upstream,0.0,34.884,48.276,60.638,100.0,48.04120247581536,197026
Gorilla,Downstream,0.0,39.041,52.941,66.667,100.0,56.02606310059635,194182
Human,Upstream,0.0,35.0,48.333,60.656,100.0,48.082529203734815,181535
Human,Downstream,0.0,40.0,54.167,66.667,100.0,56.73221441595283,181535
Bonobo,Upstream,0.0,34.848,48.344,60.656,100.0,48.057920092942254,197542
Bonobo,Downstream,0.0,39.024,52.941,66.667,100.0,56.0845814339467,194010
Chimpanzee,Upstream,0.0,34.884,48.123,60.435,100.0,47.9561588281408,202823
Chimpanzee,Downstream,0.0,38.889,52.778,66.667,100.0,55.96265592377463,198674
Bornean Orangutan,Upstream,0.0,34.783,48.077,60.465,100.0,47.89127964656878,195908
Bornean Orangutan,Downstream,0.0,38.889,52.747,66.667,100.0,55.880230690589904,193675
Sumatran Orangutan,Upstream,0.0,34.783,48.0,60.377,100.0,47.82979918922093,195861
Sumatran Orangutan,Downstream,0.0,38.889,52.632,66.667,100.0,55.83954739364703,193201
