property,n_species,species,n_Genes_per_species,total_pathway_genes_per_species,genes_common_in_all_species,genes_common_in_all_species_count,genes_unique_to_one_species,genes_unique_to_one_species_count
Oxidative phosphorylation,4,bonobo; borangutan; gorilla; sorangutan,bonobo:6; borangutan:9; gorilla:11; sorangutan:9,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:ATP8 ND6 ND4L ND2 ND3 COX3 ND4 CYTB ND5,,0,bonobo:; borangutan:COX3; gorilla:COX2|ND1; sorangutan:ATP8 ND6 ND4L ND2 ND3 COX3 ND4 CYTB ND5,bonobo:0; borangutan:1; gorilla:2; sorangutan:1
Retrograde endocannabinoid signaling,2,bonobo; gorilla,bonobo:5; gorilla:6,bonobo:ND3|ND4|ND4L|ND5|ND6; gorilla:ND1|ND2|ND3|ND4L|ND5|ND6,,0,bonobo:ND4; gorilla:ND1|ND2,bonobo:1; gorilla:2
Chemical carcinogenesis-reactive oxygen species,3,bonobo; borangutan; gorilla,bonobo:7; borangutan:9; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|SOS2; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,,0,bonobo:SOS2; borangutan:COX3; gorilla:COX2|ND1,bonobo:1; borangutan:1; gorilla:2
Thermogenesis,4,bonobo; borangutan; gorilla; sorangutan,bonobo:7; borangutan:10; gorilla:11; sorangutan:10,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|SOS2; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|SLC25A29; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:SLC25A29 ATP8 ND6 ND4L ND2 ND3 COX3 ND4 CYTB ND5,,0,bonobo:SOS2; borangutan:COX3|SLC25A29; gorilla:COX2|ND1; sorangutan:SLC25A29 ATP8 ND6 ND4L ND2 ND3 COX3 ND4 CYTB ND5,bonobo:1; borangutan:2; gorilla:2; sorangutan:1
Diabetic cardiomyopathy,3,bonobo; borangutan; gorilla,bonobo:6; borangutan:9; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,,0,bonobo:; borangutan:COX3; gorilla:COX2|ND1,bonobo:0; borangutan:1; gorilla:2
Amyotrophic lateral sclerosis,4,bonobo; borangutan; gorilla; sorangutan,bonobo:10; borangutan:13; gorilla:11; sorangutan:13,bonobo:ATP6|GPX1|GPX5|HNRNPA1L2|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:GPX2 XBP1 GPX1 GPX6 ATP8 ND6 ND4L ND2 ND3 COX3 ND4 CYTB ND5,,0,bonobo:GPX5|HNRNPA1L2; borangutan:COX3|GPX2|GPX6; gorilla:COX2|ND1; sorangutan:GPX2 XBP1 GPX1 GPX6 ATP8 ND6 ND4L ND2 ND3 COX3 ND4 CYTB ND5,bonobo:2; borangutan:3; gorilla:2; sorangutan:1
Huntington disease,4,bonobo; borangutan; gorilla; sorangutan,bonobo:8; borangutan:12; gorilla:11; sorangutan:12,bonobo:ATP6|GPX1|GPX5|ND3|ND4|ND4L|ND5|ND6; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6; sorangutan:GPX2 GPX1 GPX6 ATP8 ND6 ND4L ND2 ND3 COX3 ND4 CYTB ND5,,0,bonobo:GPX5; borangutan:COX3|GPX2|GPX6; gorilla:COX2|ND1; sorangutan:GPX2 GPX1 GPX6 ATP8 ND6 ND4L ND2 ND3 COX3 ND4 CYTB ND5,bonobo:1; borangutan:3; gorilla:2; sorangutan:1
Parkinson disease,3,bonobo; borangutan; gorilla,bonobo:7; borangutan:11; gorilla:11,bonobo:ATP6|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,,0,bonobo:; borangutan:COX3; gorilla:COX2|ND1,bonobo:0; borangutan:1; gorilla:2
Alzheimer disease,3,bonobo; borangutan; gorilla,bonobo:8; borangutan:12; gorilla:11,bonobo:APOE|ATP6|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:APOE|ATP8|COX3|CYTB|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,,0,bonobo:; borangutan:COX3; gorilla:COX2|ND1,bonobo:0; borangutan:1; gorilla:2
Pathways of neurodegeneration-multiple diseases,3,bonobo; borangutan; gorilla,bonobo:9; borangutan:14; gorilla:11,bonobo:ATP6|GPX1|GPX5|ND3|ND4|ND4L|ND5|ND6|XBP1; borangutan:ATP8|COX3|CYTB|GPX1|GPX2|GPX6|ND2|ND3|ND4|ND4L|ND5|ND6|XBP1; gorilla:ATP6|ATP8|COX2|CYTB|ND1|ND2|ND3|ND4|ND4L|ND5|ND6,,0,bonobo:GPX5; borangutan:COX3|GPX2|GPX6; gorilla:COX2|ND1,bonobo:1; borangutan:3; gorilla:2
